Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 1 0 0 1
2020-01-27 1 0 0 1
2020-01-28 2 0 0 2
2020-01-29 2 0 0 2
2020-01-30 2 0 0 2
2020-01-31 4 0 0 4
2020-02-01 4 0 0 4
2020-02-02 4 0 0 4
2020-02-03 4 0 0 4
2020-02-04 4 0 0 4
2020-02-05 5 0 0 5
2020-02-06 5 0 0 5
2020-02-07 7 0 0 7
2020-02-08 7 0 0 7
2020-02-09 7 0 0 7
2020-02-10 7 0 0 7
2020-02-11 7 0 0 7
2020-02-12 7 0 2 5
2020-02-13 7 0 2 5
2020-02-14 7 0 2 5
2020-02-15 7 0 2 5
2020-02-16 7 0 2 5
2020-02-17 8 0 2 6
2020-02-18 8 0 2 6
2020-02-19 8 0 1 7
2020-02-20 8 0 2 6
2020-02-21 9 0 6 3
2020-02-22 9 0 6 3
2020-02-23 9 0 6 3
2020-02-24 10 0 6 4
2020-02-25 11 0 6 5
2020-02-26 11 0 6 5
2020-02-27 13 0 12 1
2020-02-28 14 0 12 2
2020-02-29 20 0 12 8
2020-03-01 24 0 12 12
2020-03-02 27 0 6 21
2020-03-03 30 0 6 24
2020-03-04 33 0 12 21
2020-03-05 37 0 12 25
2020-03-06 49 0 12 37
2020-03-07 54 0 16 38
2020-03-08 64 0 16 48
2020-03-09 77 1 16 60
2020-03-10 79 1 16 62
2020-03-11 108 1 16 91
2020-03-12 117 1 16 100
2020-03-13 193 1 16 176
2020-03-14 198 1 16 181
2020-03-15 252 1 8 243
2020-03-16 415 4 18 393
2020-03-17 478 5 18 455
2020-03-18 657 8 9 640
2020-03-19 800 9 18 773
2020-03-20 943 12 18 913
2020-03-21 1277 19 20 1238
2020-03-22 1469 20 20 1429
2020-03-23 2088 24 20 2044
2020-03-24 2790 25 220 2545
2020-03-25 3251 29 366 2856
2020-03-26 4042 37 368 3637
2020-03-27 4682 53 512 4117
2020-03-28 5576 60 932 4584
2020-03-29 6280 63 932 5285
2020-03-30 7398 79 932 6387
2020-03-31 8527 100 1592 6835
2020-04-01 9560 108 2648 6804
