Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 2 0 0 2
2020-01-25 3 0 0 3
2020-01-26 3 0 0 3
2020-01-27 3 0 0 3
2020-01-28 4 0 0 4
2020-01-29 5 0 0 5
2020-01-30 5 0 0 5
2020-01-31 5 0 0 5
2020-02-01 6 0 0 6
2020-02-02 6 0 0 6
2020-02-03 6 0 0 6
2020-02-04 6 0 0 6
2020-02-05 6 0 0 6
2020-02-06 6 0 0 6
2020-02-07 6 0 0 6
2020-02-08 11 0 0 11
2020-02-09 11 0 0 11
2020-02-10 11 0 0 11
2020-02-11 11 0 0 11
2020-02-12 11 0 2 9
2020-02-13 11 0 2 9
2020-02-14 11 0 2 9
2020-02-15 12 1 4 7
2020-02-16 12 1 4 7
2020-02-17 12 1 4 7
2020-02-18 12 1 4 7
2020-02-19 12 1 4 7
2020-02-20 12 1 4 7
2020-02-21 12 1 4 7
2020-02-22 12 1 4 7
2020-02-23 12 1 4 7
2020-02-24 12 1 4 7
2020-02-25 14 1 11 2
2020-02-26 18 2 11 5
2020-02-27 38 2 11 25
2020-02-28 57 2 11 44
2020-02-29 100 2 12 86
2020-03-01 130 2 12 116
2020-03-02 191 3 12 176
2020-03-03 204 4 12 188
2020-03-04 288 4 12 272
2020-03-05 380 6 12 362
2020-03-06 656 9 12 635
2020-03-07 959 11 12 936
2020-03-08 1136 19 12 1105
2020-03-09 1219 19 12 1188
2020-03-10 1794 33 12 1749
2020-03-11 2293 48 12 2233
2020-03-12 2293 48 12 2233
2020-03-13 3681 79 12 3590
2020-03-14 4496 91 12 4393
2020-03-15 4532 91 12 4429
2020-03-16 6683 149 12 6522
2020-03-17 7715 149 12 7554
2020-03-18 9124 149 12 8963
2020-03-19 10970 244 12 10714
2020-03-20 12758 451 12 12295
2020-03-21 14463 563 12 13888
2020-03-22 16243 676 2206 13361
2020-03-23 20123 862 2206 17055
2020-03-24 22622 1102 3250 18270
2020-03-25 25600 1333 3907 20360
2020-03-26 29551 1698 4955 22898
2020-03-27 33402 1997 5707 25698
2020-03-28 38105 2317 5724 30064
2020-03-29 40708 2611 7226 30871
2020-03-30 45170 3030 7964 34176
