Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 2 2 0 0
2020-02-20 5 2 0 3
2020-02-21 18 4 0 14
2020-02-22 28 5 0 23
2020-02-23 43 8 0 35
2020-02-24 61 12 0 49
2020-02-25 95 16 0 79
2020-02-26 139 19 49 71
2020-02-27 245 26 49 170
2020-02-28 388 34 73 281
2020-02-29 593 43 123 427
2020-03-01 978 54 175 749
2020-03-02 1501 66 291 1144
2020-03-03 2336 77 291 1968
2020-03-04 2922 92 552 2278
2020-03-05 3513 107 739 2667
2020-03-06 4747 124 913 3710
2020-03-07 5823 145 1669 4009
2020-03-08 6566 194 2134 4238
2020-03-09 7161 237 2394 4530
2020-03-10 8042 291 2731 5020
2020-03-11 9000 354 2959 5687
2020-03-12 10075 429 2959 6687
2020-03-13 11364 514 2959 7891
2020-03-14 12729 611 2959 9159
2020-03-15 13938 724 4590 8624
2020-03-16 14991 853 4590 9548
2020-03-17 16169 988 5389 9792
2020-03-18 17361 1135 5389 10837
2020-03-19 18407 1284 5710 11413
2020-03-20 19644 1433 6745 11466
2020-03-21 20610 1556 7635 11419
2020-03-22 21638 1685 7931 12022
2020-03-23 23049 1812 7931 13306
2020-03-24 24811 1934 8913 13964
2020-03-25 27017 2077 9625 15315
2020-03-26 29406 2234 10457 16715
2020-03-27 32332 2378 11133 18821
2020-03-28 35408 2517 11679 21212
