Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 2 0 0 2
2020-02-01 2 0 0 2
2020-02-02 2 0 0 2
2020-02-03 2 0 0 2
2020-02-04 2 0 0 2
2020-02-05 2 0 0 2
2020-02-06 2 0 0 2
2020-02-07 3 0 0 3
2020-02-08 3 0 0 3
2020-02-09 3 0 0 3
2020-02-10 3 0 0 3
2020-02-11 3 0 0 3
2020-02-12 3 0 0 3
2020-02-13 3 0 0 3
2020-02-14 3 0 0 3
2020-02-15 3 0 0 3
2020-02-16 3 0 0 3
2020-02-17 3 0 0 3
2020-02-18 3 0 0 3
2020-02-19 3 0 0 3
2020-02-20 3 0 0 3
2020-02-21 20 1 0 19
2020-02-22 62 2 1 59
2020-02-23 155 3 2 150
2020-02-24 229 7 1 221
2020-02-25 322 10 1 311
2020-02-26 453 12 3 438
2020-02-27 655 17 45 593
2020-02-28 888 21 46 821
2020-02-29 1128 29 46 1053
2020-03-01 1694 34 83 1577
2020-03-02 2036 52 149 1835
2020-03-03 2502 79 160 2263
2020-03-04 3089 107 276 2706
2020-03-05 3858 148 414 3296
2020-03-06 4636 197 523 3916
2020-03-07 5883 233 589 5061
2020-03-08 7375 366 622 6387
2020-03-09 9172 463 724 7985
2020-03-10 10149 631 724 8794
2020-03-11 12462 827 1045 10590
2020-03-12 15113 1016 1045 13052
2020-03-13 17660 1266 1439 14955
2020-03-14 21157 1441 1966 17750
2020-03-15 24747 1809 2335 20603
2020-03-16 27980 2158 2749 23073
2020-03-17 31506 2503 2941 26062
2020-03-18 35713 2978 4025 28710
2020-03-19 41035 3405 4440 33190
2020-03-20 47021 4032 4440 38549
2020-03-21 53578 4825 6072 42681
2020-03-22 59138 5476 7024 46638
2020-03-23 63927 6077 7024 50826
2020-03-24 69176 6820 8326 54030
2020-03-25 74386 7503 9362 57521
2020-03-26 80589 8215 10361 62013
2020-03-27 86498 9134 10950 66414
2020-03-28 92472 10023 12384 70065
