Date Confirmed Deaths Recovered Active
2020-01-22 2 0 0 2
2020-01-23 2 0 0 2
2020-01-24 2 0 0 2
2020-01-25 2 0 0 2
2020-01-26 4 0 1 3
2020-01-27 4 0 1 3
2020-01-28 7 0 1 6
2020-01-29 7 0 1 6
2020-01-30 11 0 1 10
2020-01-31 15 0 1 14
2020-02-01 20 0 1 19
2020-02-02 20 0 1 19
2020-02-03 20 0 1 19
2020-02-04 22 0 1 21
2020-02-05 23 0 1 22
2020-02-06 23 0 1 22
2020-02-07 23 0 1 22
2020-02-08 24 0 1 23
2020-02-09 24 0 1 23
2020-02-10 26 0 4 22
2020-02-11 27 0 9 18
2020-02-12 28 0 9 19
2020-02-13 33 1 9 23
2020-02-14 43 1 9 33
2020-02-15 54 1 12 41
2020-02-16 60 1 12 47
2020-02-17 67 1 12 54
2020-02-18 79 2 13 64
2020-02-19 85 2 18 65
2020-02-20 95 2 18 75
2020-02-21 112 2 22 88
2020-02-22 137 2 22 113
2020-02-23 149 2 22 125
2020-02-24 160 2 22 136
2020-02-25 173 3 22 148
2020-02-26 192 3 22 167
2020-02-27 218 4 22 192
2020-02-28 236 5 22 209
2020-02-29 245 6 32 207
2020-03-01 259 6 32 221
2020-03-02 278 6 32 240
2020-03-03 298 6 43 249
2020-03-04 333 7 43 283
2020-03-05 365 7 43 315
2020-03-06 420 7 46 367
2020-03-07 466 7 76 383
2020-03-08 499 8 76 415
2020-03-09 527 10 76 441
2020-03-10 585 13 101 471
2020-03-11 640 15 118 507
2020-03-12 696 19 118 559
2020-03-13 733 21 118 594
2020-03-14 795 22 118 655
2020-03-15 826 24 118 684
2020-03-16 843 30 144 669
2020-03-17 893 30 144 719
2020-03-18 928 32 144 752
2020-03-19 968 33 150 785
2020-03-20 1022 34 191 797
2020-03-21 1059 36 232 791
2020-03-22 1104 40 235 829
2020-03-23 1144 41 235 868
2020-03-24 1217 42 285 890
2020-03-25 1314 45 310 959
2020-03-26 1416 47 359 1010
2020-03-27 1530 53 372 1105
2020-03-28 1728 56 404 1268
2020-03-29 1907 63 424 1420
2020-03-30 2001 65 424 1512
2020-03-31 2255 67 424 1764
2020-04-01 2535 72 472 1991
2020-04-02 2818 75 472 2271
2020-04-03 3154 81 514 2559
2020-04-04 3525 87 514 2924
2020-04-05 3876 93 514 3269
2020-04-06 4110 96 575 3439
2020-04-07 4485 98 592 3795
2020-04-08 5020 105 622 4293
2020-04-09 5614 113 632 4869
2020-04-10 6250 125 685 5440
2020-04-11 6951 138 762 6051
2020-04-12 7473 147 762 6564
2020-04-13 7773 156 784 6833
2020-04-14 8277 170 799 7308
2020-04-15 8835 186 853 7796
2020-04-16 9398 204 901 8293
2020-04-17 9958 217 935 8806
2020-04-18 10548 236 1069 9243
2020-04-19 10914 255 1159 9500
2020-04-20 11258 275 1159 9824
2020-04-21 11641 303 1239 10099
2020-04-22 12037 323 1356 10358
2020-04-23 12469 351 1494 10624
2020-04-24 12854 360 1530 10964
2020-04-25 13186 379 1656 11151
2020-04-26 13405 395 1809 11201
2020-04-27 13576 417 1899 11260
2020-04-28 13860 436 1899 11525
2020-04-29 14076 454 2368 11254
2020-04-30 14284 481 2460 11343
2020-05-01 14558 510 2975 11073
2020-05-02 14861 536 3205 11120
2020-05-03 15061 560 3981 10520
2020-05-04 15229 582 4156 10491
2020-05-05 15354 593 4496 10265
2020-05-06 15455 605 4496 10354
2020-05-07 15553 617 4918 10018
2020-05-08 15640 634 5146 9860
2020-05-09 15755 654 5906 9195
2020-05-10 15824 666 8127 7031
2020-05-11 15861 685 8293 6883
