Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 0 0 0 0
2020-02-20 0 0 0 0
2020-02-21 0 0 0 0
2020-02-22 0 0 0 0
2020-02-23 0 0 0 0
2020-02-24 0 0 0 0
2020-02-25 0 0 0 0
2020-02-26 0 0 0 0
2020-02-27 0 0 0 0
2020-02-28 0 0 0 0
2020-02-29 0 0 0 0
2020-03-01 0 0 0 0
2020-03-02 0 0 0 0
2020-03-03 0 0 0 0
2020-03-04 1 0 0 1
2020-03-05 1 0 0 1
2020-03-06 1 0 0 1
2020-03-07 1 0 0 1
2020-03-08 1 0 0 1
2020-03-09 1 0 0 1
2020-03-10 1 0 0 1
2020-03-11 1 0 0 1
2020-03-12 1 0 1 0
2020-03-13 1 0 1 0
2020-03-14 4 0 1 3
2020-03-15 4 0 1 3
2020-03-16 4 0 1 3
2020-03-17 7 0 1 6
2020-03-18 28 0 1 27
2020-03-19 28 0 1 27
2020-03-20 28 0 1 27
2020-03-21 37 0 4 33
2020-03-22 37 0 4 33
2020-03-23 51 0 5 46
2020-03-24 51 0 7 44
2020-03-25 51 0 7 44
2020-03-26 56 0 12 44
2020-03-27 56 0 19 37
2020-03-28 56 0 28 28
2020-03-29 56 0 28 28
2020-03-30 62 0 37 25
2020-03-31 68 0 44 24
2020-04-01 68 0 46 22
2020-04-02 75 0 50 25
2020-04-03 76 0 51 25
