Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 0 0 0 0
2020-02-20 0 0 0 0
2020-02-21 0 0 0 0
2020-02-22 0 0 0 0
2020-02-23 0 0 0 0
2020-02-24 0 0 0 0
2020-02-25 0 0 0 0
2020-02-26 0 0 0 0
2020-02-27 0 0 0 0
2020-02-28 1 0 0 1
2020-02-29 4 0 0 4
2020-03-01 5 0 0 5
2020-03-02 5 0 0 5
2020-03-03 5 0 1 4
2020-03-04 5 0 1 4
2020-03-05 5 0 1 4
2020-03-06 6 0 1 5
2020-03-07 6 0 1 5
2020-03-08 7 0 1 6
2020-03-09 7 0 1 6
2020-03-10 7 0 4 3
2020-03-11 8 0 4 4
2020-03-12 12 0 4 8
2020-03-13 26 0 4 22
2020-03-14 41 0 4 37
2020-03-15 53 0 4 49
2020-03-16 82 0 4 78
2020-03-17 93 0 4 89
2020-03-18 118 0 4 114
2020-03-19 164 1 4 159
2020-03-20 203 2 4 197
2020-03-21 251 2 4 245
2020-03-22 316 3 4 309
2020-03-23 367 4 4 359
2020-03-24 405 5 4 396
2020-03-25 475 6 4 465
2020-03-26 585 8 4 573
2020-03-27 717 12 4 701
2020-03-28 848 16 4 828
2020-03-29 993 20 4 969
2020-03-30 1094 28 35 1031
2020-03-31 1215 29 35 1151
2020-04-01 1378 37 35 1306
2020-04-02 1510 50 35 1425
2020-04-03 1688 60 633 995
