Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 0 0 0 0
2020-02-20 0 0 0 0
2020-02-21 0 0 0 0
2020-02-22 0 0 0 0
2020-02-23 0 0 0 0
2020-02-24 0 0 0 0
2020-02-25 0 0 0 0
2020-02-26 0 0 0 0
2020-02-27 0 0 0 0
2020-02-28 0 0 0 0
2020-02-29 1 0 0 1
2020-03-01 1 0 0 1
2020-03-02 1 0 0 1
2020-03-03 1 0 0 1
2020-03-04 1 0 0 1
2020-03-05 1 0 0 1
2020-03-06 1 0 0 1
2020-03-07 1 0 0 1
2020-03-08 1 0 0 1
2020-03-09 1 0 0 1
2020-03-10 1 0 0 1
2020-03-11 1 0 0 1
2020-03-12 2 0 0 2
2020-03-13 2 0 0 2
2020-03-14 2 0 0 2
2020-03-15 2 0 0 2
2020-03-16 7 0 0 7
2020-03-17 7 0 0 7
2020-03-18 7 0 0 7
2020-03-19 7 0 0 7
2020-03-20 11 0 0 11
2020-03-21 11 0 0 11
2020-03-22 23 0 1 22
2020-03-23 23 0 1 22
2020-03-24 23 0 1 22
2020-03-25 31 0 1 30
2020-03-26 33 0 1 32
2020-03-27 42 0 1 41
2020-03-28 42 0 1 41
2020-03-29 46 1 1 44
2020-03-30 49 1 1 47
2020-03-31 52 1 2 49
2020-04-01 55 1 2 52
2020-04-02 60 1 2 57
2020-04-03 64 1 3 60
