Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 0 0 0 0
2020-02-20 0 0 0 0
2020-02-21 0 0 0 0
2020-02-22 0 0 0 0
2020-02-23 0 0 0 0
2020-02-24 0 0 0 0
2020-02-25 0 0 0 0
2020-02-26 0 0 0 0
2020-02-27 1 0 0 1
2020-02-28 1 0 0 1
2020-02-29 6 0 0 6
2020-03-01 10 0 0 10
2020-03-02 18 0 0 18
2020-03-03 24 0 0 24
2020-03-04 38 0 0 38
2020-03-05 82 0 0 82
2020-03-06 128 1 0 127
2020-03-07 188 1 0 187
2020-03-08 265 3 0 262
2020-03-09 321 3 0 318
2020-03-10 382 4 0 378
2020-03-11 503 5 0 498
2020-03-12 503 5 0 498
2020-03-13 806 10 0 796
2020-03-14 962 12 0 950
2020-03-15 1138 20 0 1118
2020-03-16 1416 24 0 1392
2020-03-17 1711 43 0 1668
2020-03-18 2058 58 0 2000
2020-03-19 2467 77 0 2390
2020-03-20 3003 107 0 2896
2020-03-21 3640 137 0 3503
2020-03-22 4217 180 0 4037
2020-03-23 4764 214 0 4550
2020-03-24 5580 277 1 5302
2020-03-25 6438 357 1 6080
2020-03-26 7468 435 3 7030
2020-03-27 8647 547 3 8097
2020-03-28 9819 640 3 9176
2020-03-29 10930 772 3 10155
2020-03-30 11817 865 3 10949
2020-03-31 12667 1040 3 11624
2020-04-01 13696 1175 10 12511
