Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 2 0 0 2
2020-02-01 2 0 0 2
2020-02-02 2 0 0 2
2020-02-03 16 0 0 16
2020-02-04 16 0 0 16
2020-02-05 18 0 0 18
2020-02-06 18 0 0 18
2020-02-07 18 0 0 18
2020-02-08 26 0 0 26
2020-02-09 28 0 0 28
2020-02-10 14 0 0 14
2020-02-11 30 0 0 30
2020-02-12 32 0 2 30
2020-02-13 34 0 2 32
2020-02-14 36 0 2 34
2020-02-15 36 0 2 34
2020-02-16 36 0 16 20
2020-02-17 38 0 16 22
2020-02-18 38 0 16 22
2020-02-19 40 0 16 24
2020-02-20 44 0 16 28
2020-02-21 46 0 16 30
2020-02-22 46 0 16 30
2020-02-23 56 0 16 40
2020-02-24 60 0 16 44
2020-02-25 68 0 16 52
2020-02-26 74 0 16 58
2020-02-27 88 0 16 72
2020-02-28 112 0 16 96
2020-02-29 61 0 8 53
2020-03-01 188 0 16 172
2020-03-02 268 0 16 252
2020-03-03 378 0 16 362
2020-03-04 491 0 16 475
2020-03-05 295 0 16 279
2020-03-06 747 2 16 729
2020-03-07 857 4 36 817
2020-03-08 965 4 36 925
2020-03-09 630 3 18 609
2020-03-10 1776 14 37 1725
2020-03-11 1301 7 19 1275
2020-03-12 3577 18 37 3522
2020-03-13 4536 20 37 4479
2020-03-14 5264 57 37 5170
2020-03-15 6149 86 37 6026
2020-03-16 3692 66 21 3605
2020-03-17 4462 164 53 4245
2020-03-18 10918 232 132 10554
2020-03-19 6533 321 132 6080
2020-03-20 7791 389 132 7270
2020-03-21 17963 503 132 17328
2020-03-22 20728 574 132 20022
2020-03-23 25412 724 132 24556
2020-03-24 15126 1021 140 13965
2020-03-25 17843 704 140 16999
2020-03-26 20970 1764 150 19056
2020-03-27 48236 2336 286 45614
2020-03-28 27062 2922 286 23854
2020-03-29 29954 3349 286 26319
2020-03-30 34281 4097 171 30013
2020-03-31 38815 4883 314 33618
