Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 2 0 0 2
2020-01-24 2 0 0 2
2020-01-25 2 0 0 2
2020-01-26 2 0 0 2
2020-01-27 2 0 0 2
2020-01-28 2 0 0 2
2020-01-29 2 0 0 2
2020-01-30 2 0 0 2
2020-01-31 2 0 0 2
2020-02-01 6 0 1 5
2020-02-02 6 0 1 5
2020-02-03 8 0 1 7
2020-02-04 8 0 1 7
2020-02-05 8 0 1 7
2020-02-06 10 0 1 9
2020-02-07 10 0 1 9
2020-02-08 13 0 1 12
2020-02-09 13 0 1 12
2020-02-10 14 0 1 13
2020-02-11 15 0 6 9
2020-02-12 15 0 6 9
2020-02-13 16 0 7 9
2020-02-14 16 0 7 9
2020-02-15 16 0 7 9
2020-02-16 16 0 7 9
2020-02-17 16 0 7 9
2020-02-18 16 0 7 9
2020-02-19 16 0 7 9
2020-02-20 16 0 7 9
2020-02-21 16 0 14 2
2020-02-22 16 0 14 2
2020-02-23 16 0 14 2
2020-02-24 16 0 14 2
2020-02-25 16 0 16 0
2020-02-26 16 0 16 0
2020-02-27 16 0 16 0
2020-02-28 16 0 16 0
2020-02-29 16 0 16 0
2020-03-01 16 0 16 0
2020-03-02 16 0 16 0
2020-03-03 16 0 16 0
2020-03-04 16 0 16 0
2020-03-05 16 0 16 0
2020-03-06 16 0 16 0
2020-03-07 18 0 16 2
2020-03-08 30 0 16 14
2020-03-09 30 0 16 14
2020-03-10 31 0 16 15
2020-03-11 38 0 16 22
2020-03-12 39 0 16 23
2020-03-13 47 0 16 31
2020-03-14 53 0 16 37
2020-03-15 56 0 16 40
2020-03-16 61 0 16 45
2020-03-17 66 0 16 50
2020-03-18 75 0 16 59
2020-03-19 85 0 16 69
2020-03-20 91 0 16 75
2020-03-21 94 0 17 77
2020-03-22 113 0 17 96
2020-03-23 123 0 17 106
2020-03-24 134 0 17 117
2020-03-25 141 0 17 124
2020-03-26 153 0 20 133
2020-03-27 163 0 20 143
2020-03-28 174 0 21 153
2020-03-29 188 0 25 163
2020-03-30 203 0 55 148
2020-03-31 212 0 58 154
2020-04-01 218 0 63 155
2020-04-02 233 0 75 158
2020-04-03 237 0 85 152
2020-04-04 240 0 90 150
2020-04-05 241 0 90 151
2020-04-06 245 0 95 150
2020-04-07 249 0 123 126
2020-04-08 251 0 126 125
2020-04-09 255 0 128 127
2020-04-10 257 0 144 113
2020-04-11 258 0 144 114
2020-04-12 262 0 144 118
2020-04-13 265 0 146 119
2020-04-14 266 0 169 97
2020-04-15 267 0 171 96
2020-04-16 268 0 177 91
2020-04-17 268 0 198 70
2020-04-18 268 0 201 67
2020-04-19 268 0 202 66
2020-04-20 268 0 214 54
2020-04-21 268 0 216 52
2020-04-22 268 0 223 45
2020-04-23 268 0 224 44
2020-04-24 270 0 220 50
2020-04-25 270 0 225 45
2020-04-26 270 0 225 45
2020-04-27 270 0 225 45
2020-04-28 270 0 222 48
2020-04-29 270 0 222 48
2020-04-30 270 0 219 51
2020-05-01 270 0 219 51
2020-05-02 270 0 219 51
2020-05-03 271 0 219 52
2020-05-04 271 0 219 52
2020-05-05 271 0 232 39
2020-05-06 271 0 232 39
2020-05-07 288 0 233 55
2020-05-08 288 0 241 47
2020-05-09 288 0 241 47
2020-05-10 288 0 241 47
2020-05-11 288 0 249 39
2020-05-12 288 0 252 36
2020-05-13 288 0 252 36
2020-05-14 312 0 260 52
2020-05-15 314 0 260 54
2020-05-16 318 0 260 58
2020-05-17 320 0 260 60
2020-05-18 324 0 263 61
2020-05-19 324 0 263 61
2020-05-20 324 0 263 61
2020-05-21 324 0 266 58
2020-05-22 324 0 267 57
2020-05-23 325 0 267 58
2020-05-24 325 0 267 58
2020-05-25 326 0 272 54
2020-05-26 327 0 272 55
2020-05-27 327 0 278 49
2020-05-28 327 0 278 49
2020-05-29 328 0 279 49
2020-05-30 328 0 279 49
2020-05-31 328 0 279 49
2020-06-01 328 0 293 35
2020-06-02 328 0 298 30
2020-06-03 328 0 302 26
2020-06-04 328 0 302 26
2020-06-05 328 0 307 21
2020-06-06 329 0 307 22
2020-06-07 331 0 307 24
2020-06-08 332 0 316 16
2020-06-09 332 0 316 16
2020-06-10 332 0 320 12
2020-06-11 332 0 321 11
2020-06-12 333 0 323 10
2020-06-13 334 0 323 11
2020-06-14 334 0 323 11
2020-06-15 334 0 323 11
2020-06-16 334 0 325 9
2020-06-17 335 0 325 10
2020-06-18 342 0 325 17
2020-06-19 349 0 326 23
2020-06-20 349 0 327 22
2020-06-21 349 0 327 22
2020-06-22 349 0 328 21
2020-06-23 349 0 329 20
2020-06-24 352 0 329 23
2020-06-25 352 0 329 23
2020-06-26 353 0 330 23
2020-06-27 355 0 330 25
2020-06-28 355 0 330 25
2020-06-29 355 0 335 20
2020-06-30 355 0 335 20
2020-07-01 355 0 336 19
2020-07-02 355 0 340 15
2020-07-03 355 0 340 15
2020-07-04 355 0 340 15
2020-07-05 355 0 340 15
2020-07-06 369 0 341 28
2020-07-07 369 0 342 27
2020-07-08 369 0 347 22
2020-07-09 369 0 347 22
2020-07-10 370 0 350 20
2020-07-11 370 0 350 20
2020-07-12 372 0 350 22
2020-07-13 373 0 352 21
2020-07-14 373 0 352 21
2020-07-15 381 0 353 28
2020-07-16 381 0 356 25
2020-07-17 382 0 356 26
2020-07-18 382 0 357 25
2020-07-19 383 0 357 26
2020-07-20 384 0 360 24
2020-07-21 401 0 365 36
2020-07-22 408 0 365 43
2020-07-23 412 0 365 47
2020-07-24 415 0 365 50
2020-07-25 417 0 365 52
2020-07-26 420 0 365 55
2020-07-27 431 0 365 66
2020-07-28 446 0 369 77
2020-07-29 459 0 369 90
2020-07-30 509 0 373 136
2020-07-31 558 3 373 182
2020-08-01 590 3 373 214
2020-08-02 621 6 373 242
2020-08-03 652 7 374 271
2020-08-04 672 8 378 286
2020-08-05 717 9 381 327
2020-08-06 750 10 392 348
2020-08-07 789 10 395 384
2020-08-08 812 10 395 407
2020-08-09 841 13 395 433
2020-08-10 847 15 399 433
2020-08-11 866 16 451 399
2020-08-12 883 18 409 456
2020-08-13 911 21 425 465
2020-08-14 930 22 437 471
2020-08-15 951 24 447 480
2020-08-16 964 24 456 484
2020-08-17 983 25 467 491
2020-08-18 989 26 526 437
2020-08-19 994 25 533 436
2020-08-20 1007 25 542 440
2020-08-21 1009 25 545 439
2020-08-22 1014 26 563 425
2020-08-23 1016 27 568 421
2020-08-24 1022 27 587 408
2020-08-25 1029 27 592 410
2020-08-26 1034 30 632 372
2020-08-27 1036 30 637 369
2020-08-28 1038 30 663 345
2020-08-29 1040 32 677 331
2020-08-30 1040 32 695 313
2020-08-31 1044 34 707 303
2020-09-01 1044 34 735 275
